epoch,step,train_loss
0,24,5.912603378295898
1,49,5.387639999389648
2,74,5.373399257659912
3,99,5.2653093338012695
4,124,5.204712390899658
5,149,5.089357376098633
6,174,4.794084072113037
7,199,5.2146220207214355
8,224,5.17618465423584
9,249,4.979218006134033
10,274,4.985401630401611
11,299,4.734742641448975
12,324,4.726361274719238
13,349,4.803685188293457
14,374,4.840713024139404
15,399,5.002085208892822
16,424,4.977713108062744
17,449,4.617000579833984
18,474,4.715609550476074
19,499,4.778507232666016
