epoch,step,train_loss
0,24,5.9889445304870605
1,49,5.431997776031494
2,74,5.416008472442627
3,99,5.279320240020752
4,124,4.9399919509887695
5,149,4.991595268249512
6,174,5.176485061645508
7,199,5.0104570388793945
8,224,5.042998313903809
9,249,4.823375701904297
10,274,4.850237846374512
11,299,4.6614766120910645
12,324,4.667723178863525
13,349,4.710647106170654
14,374,4.79539680480957
15,399,4.924940586090088
16,424,4.865098476409912
17,449,4.549905776977539
18,474,4.732676982879639
19,499,4.903409004211426
